d_model,dropout,monte_carlo_N,use_monte_carlo_sim,no_mc_fill_val,gamma,episodes_to_train,gae_lambda,ppo_eps,ppo_batch,ppo_epochs,use_true_reward,reward_params,agent_params,critic_params,expert_model_params,score
1500,0.7715949980443679,5,True,0.0,0.97,10,0.9765011755309801,0.2,1,3,False,"{'num_layers': 3, 'd_model': 136, 'unit_type': 'lstm', 'demo_batch_size': 256, 'irl_alg_num_iter': 6, 'use_attention': False, 'bidirectional': True, 'dropout': 0.7645949243147963, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0011912535422153592, 'optimizer__global__lr': 0.21221220406342942}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.01604352387073786, 'optimizer__global__lr': 0.00019068915055028382}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.007760686713229159, 'optimizer__global__lr': 0.09355334500750312}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.499
1500,0.9971848109388688,5,True,0.0,0.97,19,0.9126843203450064,0.2,1,10,False,"{'num_layers': 2, 'd_model': 483, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 7, 'use_attention': False, 'bidirectional': True, 'dropout': 0.935539715415324, 'optimizer': 'rmsprop', 'optimizer__global__weight_decay': 0.0017909937393907646, 'optimizer__global__lr': 0.012536971491294213}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.005940343723761342, 'optimizer__global__lr': 0.0008285311763978988}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.013729528906332032, 'optimizer__global__lr': 0.4527391991788818}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.0
1500,0.45720480798698837,5,True,0.0,0.97,11,0.992973651152939,0.2,1,8,False,"{'num_layers': 3, 'd_model': 847, 'unit_type': 'lstm', 'demo_batch_size': 64, 'irl_alg_num_iter': 6, 'use_attention': False, 'bidirectional': True, 'dropout': 0.8650216017764638, 'optimizer': 'adamax', 'optimizer__global__weight_decay': 0.20816774494442988, 'optimizer__global__lr': 0.001236516445710446}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00017257298262927562, 'optimizer__global__lr': 0.048096354537337724}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.023564708574338584, 'optimizer__global__lr': 0.048597775414579956}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.0
1500,0.4117878789690531,5,True,0.0,0.97,8,0.9286733344140354,0.2,1,3,False,"{'num_layers': 3, 'd_model': 498, 'unit_type': 'lstm', 'demo_batch_size': 64, 'irl_alg_num_iter': 7, 'use_attention': False, 'bidirectional': True, 'dropout': 0.6606391238807007, 'optimizer': 'adam', 'optimizer__global__weight_decay': 0.006088888542581647, 'optimizer__global__lr': 0.0007735674550394091}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00019654259550693892, 'optimizer__global__lr': 0.00753275956781982}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00024248732453026716, 'optimizer__global__lr': 0.4106583576251872}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.0
1500,0.11949046798071686,5,True,0.0,0.97,13,0.9082786774501557,0.2,1,9,False,"{'num_layers': 4, 'd_model': 396, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 7, 'use_attention': False, 'bidirectional': True, 'dropout': 0.6139421784128778, 'optimizer': 'rmsprop', 'optimizer__global__weight_decay': 0.0011064095569340146, 'optimizer__global__lr': 0.0008395792350977545}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.013607989403495325, 'optimizer__global__lr': 0.6305979493565}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.009380767542427013, 'optimizer__global__lr': 0.014534564894374599}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.0
1500,0.7654851044408711,5,True,0.0,0.97,6,0.9138566457999797,0.2,1,8,False,"{'num_layers': 1, 'd_model': 919, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 6, 'use_attention': False, 'bidirectional': True, 'dropout': 0.8921369506431612, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.014246191473875808, 'optimizer__global__lr': 0.04066263594599479}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.002786403974001894, 'optimizer__global__lr': 0.019232433734190996}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.03559147087035402, 'optimizer__global__lr': 0.00032008073834525623}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.0
1500,0.6902045877551453,5,True,0.0,0.97,15,0.9350399697910319,0.2,1,8,False,"{'num_layers': 2, 'd_model': 802, 'unit_type': 'lstm', 'demo_batch_size': 256, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 0.4981140885375404, 'optimizer': 'sgd', 'optimizer__global__weight_decay': 0.14054192503602786, 'optimizer__global__lr': 0.0001804136194320147}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0026377974839141105, 'optimizer__global__lr': 0.585258587762502}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0033053172266025617, 'optimizer__global__lr': 0.11263679742423215}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.0
1500,0.1919560782374305,5,True,0.0,0.97,12,0.9228059180288825,0.2,1,6,False,"{'num_layers': 2, 'd_model': 172, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 3, 'use_attention': False, 'bidirectional': True, 'dropout': 0.3963193243801649, 'optimizer': 'sgd', 'optimizer__global__weight_decay': 0.010945638802254014, 'optimizer__global__lr': 0.000256177468757563}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.001428470680331549, 'optimizer__global__lr': 0.0008453447466167819}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.7424576981970683, 'optimizer__global__lr': 0.0012980019737052746}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.0
1500,0.23362252324211358,5,True,0.0,0.97,6,0.9564365993811934,0.2,1,5,False,"{'num_layers': 2, 'd_model': 856, 'unit_type': 'lstm', 'demo_batch_size': 64, 'irl_alg_num_iter': 8, 'use_attention': False, 'bidirectional': True, 'dropout': 0.6129519632468877, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.10174003415210857, 'optimizer__global__lr': 0.005143402722025212}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.005170465214548385, 'optimizer__global__lr': 0.002802965620696545}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00041053851937336626, 'optimizer__global__lr': 0.5607396905111479}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.0
