seed,objective,max_depth,subsample,colsample_bytree,n_estimators,gamma,reg_lambda,learning_rate,score
1,reg:squarederror,10,0.9662786796693295,0.5640622239646784,200,0.3124800792567785,0.45692265456642367,0.0035615821384587594,0.667900561945757
1,reg:squarederror,8,0.5418115022735132,0.9584306672648644,187,0.36903710098874454,0.6259502086641363,0.01835050877999231,0.661335249134356
1,reg:squarederror,8,0.9782678283352613,0.6304894898077784,85,0.5801036415446579,0.9549443246793758,0.009380767542427013,0.6590044412326062
1,reg:squarederror,8,0.9569810122896165,0.7286024039934942,115,0.9452150104812633,0.8005503127028804,0.07309405637964052,0.6537403343760202
1,reg:squarederror,9,0.546400404320369,0.7590762744709445,180,0.8462322166304276,0.8466430234547655,0.001236516445710446,0.6536628754263432
1,reg:squarederror,8,0.967769535403016,0.9231554583430086,97,0.5720933436155844,0.49910760440160107,0.0008285311763978988,0.6528421898232112
1,reg:squarederror,6,0.8916572363474432,0.7062694207515131,55,0.661626987829618,0.6945721572142027,0.0015630799020950954,0.6480518368651238
1,reg:squarederror,5,0.8352640200344728,0.7965327591490285,151,0.47060909107214777,0.2777958081863031,0.0014405175781017213,0.6388595406447103
1,reg:squarederror,8,0.8827425522204355,0.5226728642873266,71,0.8131632272164174,0.12682122236415394,0.3408018183470354,0.6285134517191535
1,reg:squarederror,7,0.6110622737676874,0.5366820858712998,120,0.18655503440091553,0.9130331498309808,0.0003005812401328972,0.5478777087495716
